participant_id,condition,question_id,decision,ai_correct,timestamp,latency_ms
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,14,accept,false,2026-03-23T04:21:39.870Z,183
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,15,accept,true,2026-03-23T04:21:40.206Z,333
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,16,accept,true,2026-03-23T04:21:40.371Z,167
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,17,accept,true,2026-03-23T04:21:40.541Z,171
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,18,accept,false,2026-03-23T04:21:41.120Z,578
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,19,accept,true,2026-03-23T04:21:41.268Z,149
9b4726c9-1d15-4b6a-bb0d-bf7bb2c561dd,A,20,accept,true,2026-03-23T04:21:41.654Z,384
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,1,accept,true,2026-03-23T04:39:19.421Z,800
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,2,accept,true,2026-03-23T04:39:19.521Z,231
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,3,accept,true,2026-03-23T04:39:19.673Z,150
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,4,accept,false,2026-03-23T04:39:27.260Z,7567
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,5,accept,false,2026-03-23T04:39:27.410Z,164
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,6,accept,true,2026-03-23T04:39:27.723Z,316
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,7,accept,true,2026-03-23T04:39:27.892Z,166
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,8,accept,false,2026-03-23T04:39:28.192Z,300
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,9,accept,true,2026-03-23T04:39:28.342Z,148
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,10,accept,true,2026-03-23T04:39:28.473Z,133
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,11,accept,false,2026-03-23T04:39:28.624Z,149
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,12,accept,true,2026-03-23T04:39:28.735Z,116
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,13,accept,false,2026-03-23T04:39:28.924Z,184
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,14,accept,false,2026-03-23T04:39:29.039Z,117
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,15,accept,true,2026-03-23T04:39:29.189Z,149
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,16,accept,true,2026-03-23T04:39:29.340Z,150
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,17,accept,true,2026-03-23T04:39:29.489Z,150
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,18,accept,false,2026-03-23T04:39:29.672Z,182
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,19,accept,true,2026-03-23T04:39:29.839Z,167
8c67d879-e5c5-4ce0-b962-e653afb1b2a4,B,20,accept,true,2026-03-23T04:39:30.007Z,167
